SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0044,Pontas Home da decoração do orçamento,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0045,Banho e Beleza Corporal,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0046,Como tornar sua casa eficiente em termos de energia e custo,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0047,Dicas para melhorar sua casa,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0048,Energia renovável,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0055,Negócio de tijolo e argamassa para iniciantes,Construção,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0412,Azeite de oliva extra virgem,Jardinagem,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0413,Plugins mais úteis,Jardinagem,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0414,Compostagem de jardineiro orgânico,Jardinagem,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0415,Jardinagem de Verão,Jardinagem,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0419,Lean Manufacturing,Decoração,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
