SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0069,Um guia completo para encontrar sua mulher perfeita,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0070,Obtendo as mulheres dos seus sonhos,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0071,Orçamento familiar,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0072,Preparando-se para o relacionamento certo,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0073,Super Segredos Para Encontrar um Parceiro,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0074,Impedir o divórcio e salvar seu casamento,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0075,Férias com a família,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0076,Ideias românticas para um memorável dia dos namorados,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0077,Dicas para economizar dinheiro para famílias,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0078,Confiança concreta,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0079,Como se tornar a garota que os homens adoram,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0080,Como organizar seu casamento em um orçamento,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0081,Como reconquistar seu ex,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0082,Como namorar uma garota,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0083,Como Ganhar na Batalha de Custódia Infantil,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0084,7 maneiras simples de obter seu ex,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0085,A arte de convidar uma garota,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
