SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0030,Orçamento Familiar,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0031,Extração de dinheiro,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0032,Liberte o gigante financeiro interior!,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0033,Empréstimos estudantis explicados,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0034,Encontrando Dinheiro,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0035,Desenvolva seu QI financeiro,Finanças,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0426,Milionários modernos,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0427,Superestrela de Negociação de Forex,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0428,Investidor Anjo,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0429,Financiamento de Negócios,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0430,Investimento Imobiliário,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0431,Imóveis-lançando,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0432,Fundição Forex,Investimentos,ATUALIZAR,P2,MÉDIO/ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
