SKU,Título,Categoria,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0036,Os principais golpes de dieta revelados,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0037,Perda de peso e você,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0038,Segredos da dieta de Paleo,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0039,Segredos de musculação revelados,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0040,Os 10 principais mitos da perda de gordura,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0041,Livrar-se de Bell,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0042,Abs dinâmico de seis unidades,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0043,100 dicas de perda de peso,Emagrecimento e saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0093,Sair do ronco agora,Nichos Diversos,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0265,Preparação para emergências,Gravidez,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0266,O melhor guia para baby boomers,Gravidez,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0267,Genealogia,Gravidez,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
