SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0001,Segredos do Artigo Marketing,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0002,Redação Efetiva 101,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0003,Redação simplificada,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0004,O Guia Rápido para Copywriting na Web,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0005,Redação de alto impacto,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0006,O Guia Especializado para Marketing de Artigo,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0007,Guia Rápido e Fácil para Artigo marketing,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0008,Artigo Traffic Blitz,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0009,Artigos Mágicos,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0010,Copywriting Para Web,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0011,Ganhar Dinheiro Escrevendo,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0012,Artigo Marketing Simplificado,Marketing de conteúdo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0056,Transferência de arquivos FTP facilitada,Criação de sites,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0057,Processadores de pagamento simplificados,Criação de sites,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0058,Nomes de domínio simplificados,Criação de sites,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0059,Guia de Hospedagem na Web,Criação de sites,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0060,Configurando seu primeiro site comercial,Criação de sites,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0061,Twitter para o Tweeple,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0062,Twitter e WordPress,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0063,Sinais sociais,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0064,Segredos de Marketing Social,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0065,Dólares da Fanpage,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0066,Facebook ADS,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0067,Facebook em mania de comerciantes da Internet,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0068,O poder das mídias sociais,Redes sociais,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0107,The Paleo Blueprint,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0108,Segredos de marketing de bilhetes altos,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0109,Segredos de marketing do fórum,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0110,Segredos de um milhão de dólares dos associados da Amazon,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0111,Super Cash offline,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0112,Segredos das Squeeze Pages,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0113,Segredos das ofertas especiais do guerreiro,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0114,Relatórios gratuitos expostos,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0115,Quadrantes da personalidade que datam o guia,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0116,Principais problemas dos escritores,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0117,Princípios-chave para todos os empresários,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0118,Os iluminados do CPA,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0119,Overdrive de marketing no fórum,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0120,Para Kindle ou Não Kindle,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0121,Pense e fique rico para os empreendedores da Internet,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0122,Observação de pássaros para iniciantes,Marketing Digital diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
