SKU,Categoria,Título original,Decisão,Prioridade,Risco,Profundidade da auditoria,Preço indicativo,Pack sugerido,Licença,Fonte,Status
PLR-0001,Marketing de conteúdo,Segredos do Artigo Marketing,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0002,Marketing de conteúdo,Redação Efetiva 101,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0003,Marketing de conteúdo,Redação simplificada,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0004,Marketing de conteúdo,O Guia Rápido para Copywriting na Web,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0005,Marketing de conteúdo,Redação de alto impacto,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0006,Marketing de conteúdo,O Guia Especializado para Marketing de Artigo,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0007,Marketing de conteúdo,Guia Rápido e Fácil para Artigo marketing,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0008,Marketing de conteúdo,Artigo Traffic Blitz,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0009,Marketing de conteúdo,Artigos Mágicos,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0010,Marketing de conteúdo,Copywriting Para Web,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0011,Marketing de conteúdo,Ganhar Dinheiro Escrevendo,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0012,Marketing de conteúdo,Artigo Marketing Simplificado,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0013,Negócios,Maremoto de tráfego,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0014,Negócios,Modelos de negócios em casa,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0015,Negócios,Sobrevivência no Marketing de rede,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0016,Negócios,Táticas Para Ganhar Dinheiro,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0017,Negócios,Ganhar dinheiro online,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0018,Negócios,Evitar Golpes,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0019,Negócios,Estratégias para ganhar dinheiro,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0020,Negócios,Empregos online legítimos,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0021,Negócios,Como terceirizar qualquer coisa para qualquer pessoa - T,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0022,Negócios,Construindo o cérebro dos negócios,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Negócios,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0023,Imóveis,O que você precisa saber sobre imóveis,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Imóveis,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0024,Imóveis,O Guia de Insiders para Venda de Imóveis,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Imóveis,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0025,Imóveis,Ganhar dinheiro investindo em imóveis,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Imóveis,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0026,Imóveis,Como fazer sua casa vender,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Imóveis,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0027,Imóveis,Criação de oportunidades de renda residual no setor imobiliário,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Imóveis,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0028,História,Os dragões da Internet da Ásia,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack História,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0029,História,Alavancagem do século XXI,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack História,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0030,Finanças,Orçamento Familiar,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0031,Finanças,Extração de dinheiro,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0032,Finanças,Liberte o gigante financeiro interior!,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0033,Finanças,Empréstimos estudantis explicados,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0034,Finanças,Encontrando Dinheiro,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0035,Finanças,Desenvolva seu QI financeiro,ATUALIZAR,P2,MÉDIO/ALTO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Finanças,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0036,Emagrecimento e saúde,Os principais golpes de dieta revelados,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0037,Emagrecimento e saúde,Perda de peso e você,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0038,Emagrecimento e saúde,Segredos da dieta de Paleo,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0039,Emagrecimento e saúde,Segredos de musculação revelados,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0040,Emagrecimento e saúde,Os 10 principais mitos da perda de gordura,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0041,Emagrecimento e saúde,Livrar-se de Bell,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0042,Emagrecimento e saúde,Abs dinâmico de seis unidades,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0043,Emagrecimento e saúde,100 dicas de perda de peso,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Bem-estar (após revisão),VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0044,Decoração,Pontas Home da decoração do orçamento,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0045,Decoração,Banho e Beleza Corporal,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0046,Decoração,Como tornar sua casa eficiente em termos de energia e custo,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0047,Decoração,Dicas para melhorar sua casa,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0048,Decoração,Energia renovável,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0049,Culinária,Fundamentos da culinária,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0050,Culinária,Receitas de chocolate e cacau,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0051,Culinária,Estratégias de Molho Secreto,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0052,Culinária,Fazendo Chocolate 101,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0053,Culinária,Defendendo um estilo de vida vegetariano,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0054,Culinária,101 dicas e técnicas para cozinhar como um chef,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Culinária & Receitas,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0055,Construção,Negócio de tijolo e argamassa para iniciantes,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Casa & Jardim,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0056,Criação de sites,Transferência de arquivos FTP facilitada,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Criação de sites,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0057,Criação de sites,Processadores de pagamento simplificados,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Criação de sites,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0058,Criação de sites,Nomes de domínio simplificados,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Criação de sites,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0059,Criação de sites,Guia de Hospedagem na Web,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Criação de sites,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0060,Criação de sites,Configurando seu primeiro site comercial,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Criação de sites,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0061,Redes sociais,Twitter para o Tweeple,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0062,Redes sociais,Twitter e WordPress,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0063,Redes sociais,Sinais sociais,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0064,Redes sociais,Segredos de Marketing Social,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0065,Redes sociais,Dólares da Fanpage,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0066,Redes sociais,Facebook ADS,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0067,Redes sociais,Facebook em mania de comerciantes da Internet,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0068,Redes sociais,O poder das mídias sociais,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Marketing Digital,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0069,Relacionamentos,Um guia completo para encontrar sua mulher perfeita,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0070,Relacionamentos,Obtendo as mulheres dos seus sonhos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0071,Relacionamentos,Orçamento familiar,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0072,Relacionamentos,Preparando-se para o relacionamento certo,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0073,Relacionamentos,Super Segredos Para Encontrar um Parceiro,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0074,Relacionamentos,Impedir o divórcio e salvar seu casamento,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
