SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0091,The Pill Gates Theory,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0092,Rompendo com dificuldades de aprendizagem,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0093,Sair do ronco agora,Nichos Diversos,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0094,Riquezas do seminário ao vivo,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0095,Publicação do Kindle simplificada,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0096,Prevenção de infecção por leveduras,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0097,Mensagem 911 Voltar,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0098,O comerciante do Google imparável,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0099,O efeito cascata,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0100,O pai rico é o caminho para ficar rico,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0101,Marcenaria para manequins,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0102,Empresa americana offshore,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0103,Criando um balanço consistente perfeito do golfe,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0104,Distúrbios do cérebro,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0105,A verdade por trás da hipnose,Nichos Diversos,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
