SKU,Título,Categoria,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0091,The Pill Gates Theory,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0096,Prevenção de infecção por leveduras,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0104,Distúrbios do cérebro,Nichos Diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0138,iPods 101,Marketing Digital diversos,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0217,Enriqueça enquanto dorme,Ganhar dinheiro,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0226,Dia de Pagamento de 1 Hora,Ganhar dinheiro,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0264,1000 em uma semana no eBay,Ganhar dinheiro,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0316,Seja seu próprio médico,Saúde,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0317,Remédios de pânico de emergência,Saúde,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0328,Cure-se do zumbido,Saúde,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0357,Os 6 principais softwares de conversão de DVD para vídeo e iPod,Tecnologia,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0361,O melhor guia para o iPod de vídeo,Tecnologia,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0364,Como obter 10 mil visualizações reais do YouTube em uma semana,Youtube Marketing,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0388,Segredos da Dieta Infantil,Alimentação e Dieta,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0401,Engenharia química,Musculação,EXCLUIR,P3,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
