SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0028,Os dragões da Internet da Ásia,História,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0029,Alavancagem do século XXI,História,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0270,Segredos do enigma de Sudoku,Idiomas,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0271,Noções básicas de franquia,Idiomas,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0272,O Grande Livro de Histórias Clássicas de Natal,Idiomas,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0273,Guia para iniciantes em aprender chinês,Idiomas,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0274,FengShui,Idiomas,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0277,Alcançar uma vida próspera através do fortalec,Espiritualismo,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0365,Revelados fatos de tatuagem,Tatuagens,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0416,Crie uma marca própria,Design,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0417,Fácil-Kindle-Publishing-Lucro-De-Kindle-Singles,Design,ATUALIZAR,P2,MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0418,Construa seu personagem,Design,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0420,Princípios e práticas de astrologia,Astrologia,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0423,Cuidados com a guitarra para iniciantes,Musica,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0424,Vinagre de maçã,Mágica,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0425,Consultoria-Magia,Mágica,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
