,Pack,Categorias/Foco,Regra comercial,Estado
0,Culinária & Receitas,Culinária + alimentação não clínica,Priorizar receitas evergreen; individual + pack 3/5/10 ebooks,P1
1,Relacionamentos,Relacionamentos + casamento,Eliminar linguagem datada/manipulativa; separar saúde sexual,P1
2,Pets,Cães e pets,Adestramento/cuidados gerais; saúde veterinária passa review,P1
3,Carreira & Desenvolvimento,Emprego + Coaching + Produtividade + Mindset,Evergreen com atualização leve,P1
4,Casa & Jardim,Decoração + Construção + Jardinagem,Reclassificar itens fora do nicho,P1
5,Viagens,Viagem + Viagens,Atualizar logística/plataformas; manter guias evergreen,P1/P2
6,Marketing Digital,Conteúdo + Email + SEO + Social + Afiliados + Blogging,Modernização obrigatória de plataformas e táticas,P2
7,Finanças,Finanças + Investimentos + Imóveis,"Revisão regulatória, claims e contexto BR",P2
8,Bem-estar,Saúde + Fitness + Musculação + Emagrecimento,Revisão técnica obrigatória; não publicar automaticamente,P2
9,Tecnologia,Tecnologia + Criação de sites,Eliminar iPod/tecnologia obsoleta; reescrever o restante,P2
